step,speech_fluency,depression,anxiety,insomnia,side_effect,reward,action
0,0.12880622,5.0,4.0,3.0,0.0,0.0,
1,0.20133333,5.0,3.98,3.0,0.007062696631216187,7.245648838795399,3
2,0.20337458,4.9945,3.9548813982466218,3.0,0.009585886739778995,0.19453812494940947,36
3,0.21069412,4.949225620173611,3.8903625416823506,3.0,0.03373465970285064,0.6982202495682203,16
4,0.21969162,4.905433131828003,3.827692567083108,2.9715,0.03971432648870222,0.8600354264769706,53
5,0.2295735,4.8538734340122325,3.7576153750215915,2.944908559741201,0.044826213250670044,0.9433626543232325,32
6,0.24034041,4.797709195157395,3.683286768912866,2.913897868687261,0.04662590512200939,1.030064334994675,28
7,0.2530725,4.743231350171841,3.5759909495645035,2.8846902835868162,0.05742983078946696,1.2157784987729583,6
8,0.26807365,4.690387633638705,3.431336492809166,2.8571713045697984,0.06982519416287039,1.4302891545404037,7
9,0.28390816,4.639127442196598,3.290016383911945,2.8122339567584533,0.07255403004525285,1.5108969576259006,52
10,0.3017066,4.55240178062578,3.151948239616428,2.770050662761679,0.079800474382247,1.7000468580384784,25
11,0.3201563,4.4593609277440605,3.007851869375763,2.7304428221164176,0.08445817637901235,1.7605089154052984,41
12,0.3409587,4.347316277779624,2.8450593410778415,2.6932436615345052,0.09256415684457442,1.9876781021172207,39
13,0.36358935,4.220270229440107,2.6675923451471473,2.658297445913619,0.10411564786028188,2.1589460847470257,43
14,0.38617504,4.092334919164468,2.489580991461597,2.6254587421149895,0.10476537050531215,2.1538037478934777,40
15,0.41056493,3.949701272313598,2.2972329215845475,2.594591731975839,0.11500715384251378,2.323984358604628,34
16,0.4354722,3.8110766839720416,2.109271048087633,2.547569571260991,0.11657607760596901,2.374148072749492,55
17,0.46063918,3.661342302695827,1.9255908943986995,2.5034791976310955,0.12227756215594572,2.3944218284776797,19
18,0.48877907,3.4972939400152496,1.7274906030130437,2.4435292377051017,0.12880057871651607,2.6851901812316656,30
19,0.5173407,3.328627458943953,1.5246956906808884,2.3865658451138154,0.13175591921221438,2.7244093207526996,32
20,0.5458306,3.1591183861858165,1.3210097570597885,2.332412500262566,0.13077319325791156,2.7182158149453284,36
21,0.57519263,2.9942570925007312,1.0969497326106747,2.280903968218871,0.13601924591555242,2.800179755270405,4
22,0.60882145,2.833909586767128,0.839883485331875,2.193885555262094,0.15170285701537084,3.211178249445842,50
23,0.64270383,2.677945939144268,0.5889901385648049,2.0925068344408184,0.15218899956158288,3.2360491018464423,55
24,0.67683023,2.52004015222541,0.33791308301815265,1.9895934722978075,0.15117158288441912,3.261469781172393,28
25,0.7107007,2.3609116446340677,0.08734152865533085,1.891236711821427,0.14954188277932676,3.2375036000909723,36
26,0.7336092,2.1986642999741726,0.0,1.7971978404877142,0.14722319330565908,2.1436284376872594,21
27,0.75177944,2.028456700792246,0.0,1.6948521683742506,0.14977019665976993,1.6672516119761736,29
28,0.7697323,1.8573441381537652,0.0,1.5966713655336455,0.14827481966839373,1.647014283525504,36
29,0.78831524,1.6908217208249379,0.0,1.4844497384979602,0.14886022824242537,1.7094334008543268,55
30,0.80728275,1.5135599749916093,0.0,1.3771987004187407,0.1561679460776647,1.7405839466726611,45
31,0.826851,1.3225804447591512,0.0,1.274654513840552,0.16492104866121565,1.791903730076427,34
32,0.84705716,1.136573562113818,0.0,1.157569149081103,0.17004652187916058,1.8505684608193826,48
33,0.866616,0.955403697619491,0.0,1.0453564994825912,0.1670960839583212,1.7887873433272774,0
34,0.88681906,0.7789391181711457,0.0,0.9187749859240586,0.16716359680480047,1.853143689907719,52
35,0.9073386,0.5920518690137756,0.0,0.7978690679693081,0.17141251193413548,1.880541935480004,19
36,0.9306222,0.3583286145771101,0.0,0.6823384524185676,0.17970597322470874,2.1486531600246606,27
37,0.95438075,0.1313880179810667,0.0,0.5529005951466787,0.18412400744066534,2.1917323516788896,48
38,0.97203755,0.0,0.0,0.4194367945080083,0.1835609544980327,1.582117836300209,47
39,0.9805668,0.0,0.0,0.2914982865085002,0.18174218912656517,0.6711811975368194,40
40,0.9906455,0.0,0.0,0.140317042795247,0.18346305250064388,0.8244119055877178,53
41,1.0,0.0,0.0,0.0,0.18690448059308246,0.7485424713752282,19
42,1.0,0.0,0.0,0.0,0.19125171685890135,-0.19125171685890135,30
43,1.0,0.0,0.0,0.0,0.18820336549157218,-0.18820336549157218,36
44,1.0,0.0,0.0,0.0,0.18969703313399727,-0.18969703313399727,3
45,1.0,0.0,0.0,0.0,0.19086817710923631,-0.19086817710923631,29
46,1.0,0.0,0.0,0.0,0.19541436849653873,-0.19541436849653873,30
47,1.0,0.0,0.0,0.0,0.19455288022388392,-0.19455288022388392,52
48,1.0,0.0,0.0,0.0,0.19584836976431602,-0.19584836976431602,11
49,1.0,0.0,0.0,0.0,0.19481111732564538,-0.19481111732564538,52
50,1.0,0.0,0.0,0.0,0.19901568770060848,-0.19901568770060848,30
51,1.0,0.0,0.0,0.0,0.2037663738037776,-0.2037663738037776,5
52,1.0,0.0,0.0,0.0,0.20794964442934352,-0.20794964442934352,30
53,1.0,0.0,0.0,0.0,0.21210216632022943,-0.21210216632022943,30
54,1.0,0.0,0.0,0.0,0.20972660997542958,-0.20972660997542958,1
55,1.0,0.0,0.0,0.0,0.20694892366936773,-0.20694892366936773,17
56,1.0,0.0,0.0,0.0,0.21547839922577436,-0.21547839922577436,43
57,1.0,0.0,0.0,0.0,0.21430289474463246,-0.21430289474463246,55
58,1.0,0.0,0.0,0.0,0.2183580596905307,-0.2183580596905307,30
59,1.0,0.0,0.0,0.0,0.2223808160587481,-0.2223808160587481,30
60,1.0,0.0,0.0,0.0,0.21900060031323204,-0.21900060031323204,36
61,1.0,0.0,0.0,0.0,0.223724606152089,-0.223724606152089,39
62,1.0,0.0,0.0,0.0,0.22076356911311174,-0.22076356911311174,17
63,1.0,0.0,0.0,0.0,0.23922136045491754,-0.23922136045491754,16
64,1.0,0.0,0.0,0.0,0.236165945290228,-0.236165945290228,10
65,1.0,0.0,0.0,0.0,0.23937577505636498,-0.23937577505636498,48
66,1.0,0.0,0.0,0.0,0.23975031506893296,-0.23975031506893296,11
67,1.0,0.0,0.0,0.0,0.24013334506239456,-0.24013334506239456,53
68,1.0,0.0,0.0,0.0,0.2575948096093696,-0.2575948096093696,16
69,1.0,0.0,0.0,0.0,0.2527707588503772,-0.2527707588503772,36
70,1.0,0.0,0.0,0.0,0.2501398907732823,-0.2501398907732823,55
71,1.0,0.0,0.0,0.0,0.2534013844269614,-0.2534013844269614,39
72,1.0,0.0,0.0,0.0,0.25735452620774724,-0.25735452620774724,26
73,1.0,0.0,0.0,0.0,0.25246796694172485,-0.25246796694172485,36
74,1.0,0.0,0.0,0.0,0.2477727287771794,-0.2477727287771794,36
75,1.0,0.0,0.0,0.0,0.24293499680289543,-0.24293499680289543,54
76,1.0,0.0,0.0,0.0,0.24586955002576955,-0.24586955002576955,30
77,1.0,0.0,0.0,0.0,0.25617310967444934,-0.25617310967444934,14
78,1.0,0.0,0.0,0.0,0.2587558883913666,-0.2587558883913666,30
79,1.0,0.0,0.0,0.0,0.2578943427155216,-0.2578943427155216,32
80,1.0,0.0,0.0,0.0,0.25751077614632367,-0.25751077614632367,11
81,1.0,0.0,0.0,0.0,0.2548348802592685,-0.2548348802592685,55
82,1.0,0.0,0.0,0.0,0.2572647170437983,-0.2572647170437983,33
83,1.0,0.0,0.0,0.0,0.26918442025894157,-0.26918442025894157,50
84,1.0,0.0,0.0,0.0,0.2684314397344635,-0.2684314397344635,3
85,1.0,0.0,0.0,0.0,0.2654007939505901,-0.2654007939505901,55
86,1.0,0.0,0.0,0.0,0.2672994380734768,-0.2672994380734768,48
87,1.0,0.0,0.0,0.0,0.2630257362627654,-0.2630257362627654,40
88,1.0,0.0,0.0,0.0,0.2727284605681782,-0.2727284605681782,46
89,1.0,0.0,0.0,0.0,0.27495800076054205,-0.27495800076054205,30
90,1.0,0.0,0.0,0.0,0.27424682582591176,-0.27424682582591176,3
91,1.0,0.0,0.0,0.0,0.27624462799558946,-0.27624462799558946,48
92,1.0,0.0,0.0,0.0,0.2754491735296058,-0.2754491735296058,11
93,1.0,0.0,0.0,0.0,0.2746596122981092,-0.2746596122981092,11
